,Course Title,Course Headline,Rating,Reviews,Course Length,Lectures,Level,Instructor
0,The Complete JavaScript Course 2023: From Zero to Expert!,"The modern <strong>JavaScript</strong> course for everyone! Master <strong>JavaScript</strong> with projects, challenges and theory. Many courses in one!",Rating: 4.7 out of 5,162969 reviews,69 total hours,320 lectures,All Levels,Jonas Schmedtmann
1,JavaScript - The Complete Guide 2023 (Beginner + Advanced),Modern <strong>JavaScript</strong> from the beginning - all the way up to <strong>JS</strong> expert level! THE must-have <strong>JavaScript</strong> resource in 2023.,Rating: 4.6 out of 5,24325 reviews,52.5 total hours,617 lectures,All Levels,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller"
2,The Complete 2023 Web Development Bootcamp,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, <strong>Javascript</strong>, Node, React, MongoDB, Web3 and DApps",Rating: 4.7 out of 5,251750 reviews,65.5 total hours,490 lectures,All Levels,Dr. Angela Yu
3,JavaScript Basics for Beginners,<strong>JavaScript</strong> - Master the Fundamentals in 6 Hours,Rating: 4.6 out of 5,26244 reviews,6.5 total hours,105 lectures,Beginner,Mosh Hamedani
4,JavaScript: The Advanced Concepts (2023 Update),Learn modern advanced <strong>JavaScript</strong> practices and be in the top 10% of <strong>JavaScript</strong> developers,Rating: 4.7 out of 5,12096 reviews,25.5 total hours,229 lectures,All Levels,"Andrei Neagoie, Zero To Mastery"
5,The Modern Javascript Bootcamp Course (2022),The most up-to-date <strong>JS</strong> resource online! Master <strong>Javascript</strong> by building a beautiful portfolio of projects!,Rating: 4.7 out of 5,10909 reviews,52 total hours,483 lectures,All Levels,"Colt Steele, Stephen Grider"
6,"50 HTML CSS JavaScript projects - HTML5, CSS3, vanilla JS",,Rating: 4.5 out of 5,31 reviews,40 total hours,215 lectures,Beginner,Dr. Sahand Ghavidel
7,BUILD THE BEST ECOMMERCE WEBSITE EVER with REACT JS NEXT JS,,Rating: 4.8 out of 5,38 reviews,46.5 total hours,212 lectures,All Levels,Mohamed Hajji
8,7 HTML CSS JavaScript Projects with API - JS APIs projects,,Rating: 5.0 out of 5,1 review,7.5 total hours,30 lectures,Beginner,Dr. Sahand Ghavidel
9,React JS Portfolio Website with Theme Customization,,Rating: 4.9 out of 5,21 reviews,5.5 total hours,70 lectures,All Levels,Ernest Apedo
10,JavaScript: Master the Basics,,Rating: 5.0 out of 5,1 review,5.5 total hours,20 lectures,Beginner,Dominique Canlas
11,"Javascript -  All You Need( incl Async,ChatBot and OOPS)",,Rating: 0.0 out of 5,0 reviews,5 total hours,63 lectures,All Levels,Rahul Dhingra
12,Master JavaScript with Node.js,,Rating: 4.9 out of 5,6 reviews,6 total hours,74 lectures,All Levels,Dezlearn Education
13,Javascript Interview Questions with answers,,Rating: 5.0 out of 5,1 review,3 total hours,7 lectures,Beginner,Shivprasad Koirala
14,JavaScript: Understanding the Weird Parts,"An advanced <strong>JavaScript</strong> course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",Rating: 4.8 out of 5,46136 reviews,12 total hours,89 lectures,All Levels,Anthony Alicea
15,"50 Projects In 50 Days - HTML, CSS & JavaScript","Sharpen your skills by building 50 quick, unique & fun mini projects",Rating: 4.7 out of 5,9223 reviews,18.5 total hours,164 lectures,Beginner,"Brad Traversy, Florin Pop"
16,Javascript Tutorial and Projects Course (2023),Learn <strong>Javascript</strong> by Building 30+ Interesting Projects,Rating: 4.7 out of 5,3511 reviews,46.5 total hours,448 lectures,All Levels,John Smilga
17,Modern JavaScript From The Beginning,Learn and build projects with pure <strong>JavaScript</strong> (No frameworks or libraries),Rating: 4.7 out of 5,30513 reviews,21.5 total hours,122 lectures,All Levels,Brad Traversy
18,"Modern JavaScript (Complete guide, from Novice to Ninja)",Learn Modern <strong>JavaScript</strong> from the very start to ninja-level & build awesome <strong>JavaScript</strong> applications.,Rating: 4.8 out of 5,9793 reviews,20.5 total hours,188 lectures,All Levels,The Net Ninja (Shaun Pelling)
19,JavaScript Algorithms and Data Structures Masterclass,The Missing Computer Science and Coding Interview Bootcamp,Rating: 4.7 out of 5,22723 reviews,22 total hours,249 lectures,All Levels,Colt Steele
20,The Web Developer Bootcamp 2023,"COMPLETELY REDONE - The only course you need to learn web development - HTML, CSS, <strong>JS</strong>, Node, and More!",Rating: 4.7 out of 5,252189 reviews,64 total hours,615 lectures,All Levels,Colt Steele
21,Advanced Javascript,In only seven hours you will learn enough <strong>javascript</strong> to transform from a Junior <strong>JS</strong> Dev into a Senior <strong>JS</strong> Guru,Rating: 4.6 out of 5,7961 reviews,6.5 total hours,47 lectures,Intermediate,Asim Hussain
22,The Complete Web Developer in 2023: Zero to Mastery,"Learn to code and become a Web Developer in 2023 with HTML, CSS, <strong>Javascript</strong>, React, Node.js, Machine Learning & more!",Rating: 4.7 out of 5,58909 reviews,38.5 total hours,402 lectures,All Levels,"Andrei Neagoie, Zero To Mastery"
