,Course Title,Course Headline,Rating,Reviews,Course Length,Lectures,Level,Instructor
23,JavaScript Web Projects: 20 Projects to Build Your Portfolio,"Modern HTML5, CSS3, and <strong>JavaScript</strong> to build Responsive and Mobile Friendly projects for your dream portfolio and resume!",Rating: 4.6 out of 5,3246 reviews,33 total hours,242 lectures,Beginner,"Andrei Neagoie, Jacinto Wong, Zero To Mastery"
24,ES6 Javascript: The Complete Developer's Guide,ES6 <strong>Javascript</strong> Development from scratch.  Get practice with live examples and learn exactly where to apply ES6 features.,Rating: 4.6 out of 5,12785 reviews,6.5 total hours,70 lectures,Beginner,Stephen Grider
25,"React - The Complete Guide (incl Hooks, React Router, Redux)","Dive in and learn React.<strong>js</strong> from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.<strong>js</strong> and way more!",Rating: 4.6 out of 5,172662 reviews,49.5 total hours,497 lectures,All Levels,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller"
26,The Modern JavaScript Bootcamp,"Learn <strong>JavaScript</strong> by building real-world apps. Includes 3 real-world projects, 80 programming challenges, and ES6/ES7!",Rating: 4.7 out of 5,12662 reviews,29.5 total hours,155 lectures,All Levels,Andrew Mead
27,20 Web Projects With Vanilla JavaScript,"Build 20 mini frontend projects from scratch with HTML5, CSS & <strong>JavaScript</strong> (No frameworks or libraries)",Rating: 4.7 out of 5,6274 reviews,16 total hours,121 lectures,All Levels,Brad Traversy
28,JavaScript Beginner Bootcamp (2022),"<strong>JavaScript</strong> for Beginners: Projects based learning, whiteboard animations, coding in the browser and quizzes.",Rating: 4.6 out of 5,5622 reviews,38.5 total hours,385 lectures,Beginner,Rob Merrill
29,"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)","Master Node JS & Deno.<strong>js</strong>, build REST APIs with Node.js, GraphQL APIs, add Authentication, use MongoDB, SQL & much more!",Rating: 4.7 out of 5,38278 reviews,40.5 total hours,543 lectures,All Levels,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller"
30,The JavaScript Bible - JavaScript Bootcamp,Understand and learn <strong>JavaScript</strong> and ES6 in a one challenge-based <strong>JavaScript</strong> Bootcamp course!,Rating: 4.7 out of 5,1539 reviews,42.5 total hours,429 lectures,All Levels,"Bogdan Stashchuk | Software Engineer, MBA, PhD"
31,Next.js & React - The Complete Guide (incl. Two Paths!),"Learn NextJS from the ground up and build production-ready, fullstack ReactJS apps with the NextJS framework!",Rating: 4.7 out of 5,9400 reviews,25 total hours,276 lectures,All Levels,Maximilian Schwarzmüller
32,JavaScript programming: JavaScript for beginners,Learn by doing <strong>JavaScript</strong> exercises and <strong>JavaScript</strong> coding projects. <strong>JavaScript</strong> beginner guide to programming concepts.,Rating: 4.7 out of 5,477 reviews,5 total hours,75 lectures,Beginner,Jana Bergant
33,Javascript for Beginners Learn by Doing Practical Exercises,<strong>JavaScript</strong> for Beginners : Work closely with me doing exercises & learn more. I make <strong>Javascript</strong> easy for you guaranteed.,Rating: 4.4 out of 5,15328 reviews,4 total hours,31 lectures,All Levels,"Edwin Diaz, Coding Faculty Solutions"
34,"50 HTML CSS JavaScript projects - HTML5, CSS3, vanilla JS",,Rating: 4.5 out of 5,31 reviews,40 total hours,215 lectures,Beginner,Dr. Sahand Ghavidel
35,BUILD THE BEST ECOMMERCE WEBSITE EVER with REACT JS NEXT JS,,Rating: 4.8 out of 5,38 reviews,46.5 total hours,212 lectures,All Levels,Mohamed Hajji
36,7 HTML CSS JavaScript Projects with API - JS APIs projects,,Rating: 5.0 out of 5,1 review,7.5 total hours,30 lectures,Beginner,Dr. Sahand Ghavidel
37,React JS Portfolio Website with Theme Customization,,Rating: 4.9 out of 5,21 reviews,5.5 total hours,70 lectures,All Levels,Ernest Apedo
38,JavaScript: Master the Basics,,Rating: 5.0 out of 5,1 review,5.5 total hours,20 lectures,Beginner,Dominique Canlas
39,"Javascript -  All You Need( incl Async,ChatBot and OOPS)",,Rating: 0.0 out of 5,0 reviews,5 total hours,63 lectures,All Levels,Rahul Dhingra
40,Master JavaScript with Node.js,,Rating: 4.9 out of 5,6 reviews,6 total hours,74 lectures,All Levels,Dezlearn Education
41,Javascript Interview Questions with answers,,Rating: 5.0 out of 5,1 review,3 total hours,7 lectures,Beginner,Shivprasad Koirala
42,Vue - The Complete Guide (incl. Router & Composition API),Vue.<strong>js</strong> is an awesome <strong>JavaScript</strong> Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,Rating: 4.7 out of 5,57370 reviews,32 total hours,330 lectures,All Levels,Maximilian Schwarzmüller
43,Complete JavaScript Projects Course Games 55 Modern JS DOM,Real Projects! AJAX <strong>Java Script</strong> Projects Apps 55+ Projects Modern <strong>JS</strong> DOM <strong>JavaScript</strong> Games Portfolio Games DOM,Rating: 4.6 out of 5,671 reviews,55 total hours,710 lectures,All Levels,Laurence Svekis
44,JavaScript Dynamic Web Pages AJAX 30 Projects APIs JSON,<strong>JavaScript</strong> projects explore <strong>JavaScript</strong> to connect to APIs retrieve JSON data with AJAX use it within your web page,Rating: 4.9 out of 5,91 reviews,25 total hours,136 lectures,Intermediate,Laurence Svekis
45,Javascript - From Beginner to Pro-Build real world JS apps,"Master <strong>JavaScript</strong> with the most complete <strong>JavaScript</strong> course on market! 1st step to learn <strong>JS</strong> - React, Angular or Vue <strong>JS</strong>",Rating: 4.4 out of 5,2041 reviews,12.5 total hours,85 lectures,Beginner,Abhay Talreja
46,Remix.js - The Practical Guide,Learn how to build feature-rich & highly reactive fullstack React applications with Remix.,Rating: 4.8 out of 5,299 reviews,8.5 total hours,111 lectures,All Levels,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller"
47,Mastering Clean Code in JavaScript,Learning the <strong>JavaScript</strong> framework is good and cleaner <strong>JavaScript</strong> is even better,Rating: 4.8 out of 5,284 reviews,4.5 total hours,36 lectures,Expert,Packt Publishing
48,The JavaScript Course 2023: Build Modern JavaScript Projects,Learn Modern <strong>JavaScript</strong>.  Master <strong>JavaScript</strong> with Projects and Build Your Portfolio. <strong>JavaScript</strong> Bootcamp.,Rating: 4.8 out of 5,53 reviews,6.5 total hours,49 lectures,All Levels,Vertex Academy
49,"Complete Web Design: HTML, CSS, Javascript, jQuery & Vue JS",5 Courses in 1! From complete beginner to advanced. Learn Webdesign and Become a Professional Front End Web Developer!,Rating: 4.5 out of 5,4939 reviews,27.5 total hours,170 lectures,Beginner,Ivan Lourenço Gomes
50,JavaScript Bootcamp - Build Real World Applications,<strong>JavaScript</strong> from basic to advanced level. Project - based <strong>JavaScript</strong> course. <strong>JavaScript</strong> ES6 guide. Including JSON & AJAX,Rating: 4.7 out of 5,1452 reviews,16.5 total hours,120 lectures,All Levels,"Code And Create, George Lomidze, Lasha Nozadze"
51,Accelerated ES6 JavaScript Training,Learn and Use the Future of <strong>JavaScript</strong> - Today!,Rating: 4.6 out of 5,5447 reviews,6 total hours,115 lectures,Intermediate,Maximilian Schwarzmüller
52,JavaScript Unit Testing - The Practical Guide,Learn how to write automated tests (unit & integration tests) for your <strong>JavaScript</strong> projects with Vitest & Jest.,Rating: 4.7 out of 5,1564 reviews,5.5 total hours,92 lectures,Beginner,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller"
53,The Complete Web Developer Course 3.0,"Learn Web Development in 2023! Build apps, website, projects using HTML, CSS, <strong>Javascript</strong>, PHP, Python, MySQL & more!",Rating: 4.5 out of 5,70749 reviews,31 total hours,220 lectures,All Levels,"Rob Percival, Codestars • over 2 million students worldwide!"
54,Javascript for Beginners,Learn <strong>javascript</strong> online and supercharge your web design with this <strong>Javascript</strong> for beginners training course.,Rating: 4.3 out of 5,1503 reviews,7.5 total hours,70 lectures,All Levels,Dollar Design School
55,Understanding TypeScript - 2023 Edition,"Boost your <strong>JavaScript</strong> projects with TypeScript: Learn all about core types, generics, TypeScript + React or Node & more!",Rating: 4.7 out of 5,38546 reviews,15 total hours,198 lectures,All Levels,Maximilian Schwarzmüller
56,JavaScript from Beginner to Expert,"Become a <strong>JavaScript</strong> expert in 30 days, even if you are a <strong>JS</strong> beginner. Become a front-end developer of websites in <strong>JS</strong>",Rating: 4.6 out of 5,1238 reviews,12.5 total hours,93 lectures,All Levels,Arkadiusz Włodarczyk
57,Top Node and Javascript Bundle: Learn Node and JS,Learn Node.js and <strong>Javascript</strong> the Fast and Easy Way With This Popular Bundle Course!,Rating: 4.6 out of 5,367 reviews,8 total hours,100 lectures,Beginner,John Elder
58,JavaScript 101: JavaScript for absolute beginners,Learn how to code in <strong>JavaScript</strong> even if you've never written any <strong>JavaScript</strong> in your life.,Rating: 4.7 out of 5,109 reviews,3 total hours,31 lectures,Beginner,Kalob Taulien
59,Learn JavaScript: Full-Stack from Scratch,"Understand the <strong>JavaScript</strong> language itself, Node.js, MongoDB, The Web Browser and More To Create Meaningful Applications",Rating: 4.7 out of 5,4654 reviews,28 total hours,127 lectures,All Levels,Brad Schiff
60,Svelte.js - The Complete Guide (incl. Sapper.js),Build high-performance web applications with SvelteJS - a lightweight <strong>JavaScript</strong> compiler,Rating: 4.7 out of 5,3005 reviews,12.5 total hours,196 lectures,All Levels,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller"
61,*UPDATED* JavaScript Complete Grandmaster 2023,Beginner to Advanced. Proven hands on teaching method. Comprehensive. Practical & current. Everything you need to know.,Rating: 4.9 out of 5,377 reviews,13 total hours,223 lectures,All Levels,Clyde Matthew
62,"50 HTML CSS JavaScript projects - HTML5, CSS3, vanilla JS",,Rating: 4.5 out of 5,31 reviews,40 total hours,215 lectures,Beginner,Dr. Sahand Ghavidel
63,BUILD THE BEST ECOMMERCE WEBSITE EVER with REACT JS NEXT JS,,Rating: 4.8 out of 5,38 reviews,46.5 total hours,212 lectures,All Levels,Mohamed Hajji
64,7 HTML CSS JavaScript Projects with API - JS APIs projects,,Rating: 5.0 out of 5,1 review,7.5 total hours,30 lectures,Beginner,Dr. Sahand Ghavidel
65,React JS Portfolio Website with Theme Customization,,Rating: 4.9 out of 5,21 reviews,5.5 total hours,70 lectures,All Levels,Ernest Apedo
66,JavaScript: Master the Basics,,Rating: 5.0 out of 5,1 review,5.5 total hours,20 lectures,Beginner,Dominique Canlas
67,"Javascript -  All You Need( incl Async,ChatBot and OOPS)",,Rating: 0.0 out of 5,0 reviews,5 total hours,63 lectures,All Levels,Rahul Dhingra
68,Master JavaScript with Node.js,,Rating: 4.9 out of 5,6 reviews,6 total hours,74 lectures,All Levels,Dezlearn Education
69,Javascript Interview Questions with answers,,Rating: 5.0 out of 5,1 review,3 total hours,7 lectures,Beginner,Shivprasad Koirala
70,The Complete Javascript Course for Developers,Learn <strong>JavaScript</strong> Quickly. This <strong>JavaScript</strong> Class Will Teach You <strong>JavaScript</strong> Fundamentals And Is Beginner Friendly,Rating: 4.8 out of 5,387 reviews,11 total hours,53 lectures,Beginner,"Tim Buchalka's Learn Programming Academy, Charles E. Brown"
71,*UPDATED* DOM 2023 Build Dynamic Websites JavaScript Part 2,"Advanced Document Object Model (DOM) Coding. Events, bubbling, hierarchy. Become a PRO in easy steps. Course 2 of 2",Rating: 4.8 out of 5,344 reviews,9.5 total hours,134 lectures,Intermediate,Clyde Matthew
72,"React, NodeJS, Express & MongoDB - The MERN Fullstack Guide","Build fullstack React.<strong>js</strong> applications with Node.js, Express.<strong>js</strong> & MongoDB (MERN) with this project-focused course.",Rating: 4.5 out of 5,8586 reviews,19 total hours,208 lectures,All Levels,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller, Manuel Lorenz"
73,Advanced JavaScript Topics,"In Depth <strong>JavaScript</strong> Training for Mastering Important Patterns, the Power of Functions, OOP Concepts, <strong>JavaScript</strong> Projects",Rating: 4.5 out of 5,668 reviews,18 total hours,109 lectures,Intermediate,Steven Hancock
74,Accelerated JavaScript Training,"Take a deep dive into <strong>JavaScript</strong>, a Must-Know Language in Web Development, with a Hands-on, Example-driven Approach",Rating: 4.6 out of 5,6113 reviews,7.5 total hours,128 lectures,All Levels,Maximilian Schwarzmüller
75,Complete Next.js Developer in 2023: Zero to Mastery,"Master NextJS and build enterprise level fullstack ReactJS apps. Taught by industry expert, using modern best practices!",Rating: 4.3 out of 5,862 reviews,37 total hours,433 lectures,All Levels,"Andrei Neagoie, Ankita Kulkarni, Zero To Mastery"
76,Become a WordPress Developer: Unlocking Power With Code,"Learn PHP, <strong>JavaScript</strong>, WordPress theming & the WP REST API to Create Custom & Interactive WordPress Websites",Rating: 4.7 out of 5,20249 reviews,42 total hours,207 lectures,All Levels,Brad Schiff
77,*UPDATED* DOM 2023 Build Dynamic Websites JavaScript Part 1,Understand DOM (Document Object Model). Crucial for front end web development. Novice to Pro in easy steps.Course 1 of 2,Rating: 4.8 out of 5,858 reviews,5.5 total hours,106 lectures,All Levels,Clyde Matthew
78,"Asynchronous JavaScript: Promises, Callbacks, Async Await","Become an expert in Asynchronous <strong>JavaScript</strong>: Promises, Callbacks, Async Await, Event Loop, etc.",Rating: 4.5 out of 5,1961 reviews,3.5 total hours,47 lectures,All Levels,Viktor Pyskunov
79,"HTML, CSS, & JavaScript - Certification Course for Beginners","A Comprehensive Guide for Beginners interested in learning HTML, CSS, & <strong>JavaScript</strong> to Build Interactive Web Pages.",Rating: 4.3 out of 5,7741 reviews,5.5 total hours,113 lectures,Beginner,YouAccel Training
80,Machine Learning with Javascript,Master Machine Learning from scratch using <strong>Javascript</strong> and TensorflowJS with hands-on projects.,Rating: 4.7 out of 5,2876 reviews,17.5 total hours,187 lectures,Beginner,Stephen Grider
81,JavaScript Projects for JavaScript Beginners,Interactive Front-End Development for Beginners,Rating: 4.6 out of 5,651 reviews,7.5 total hours,76 lectures,Beginner,Rob Merrill
82,JavaScript Certification Exam JSE-40-01 - Preparation,Get certified for <strong>JavaScript</strong> in 2023! Prepare for your <strong>JavaScript</strong> Certification Exam JSE-40-01 with 6 Practice Tests,Rating: 4.7 out of 5,106 reviews,266 questions,,Beginner,Cord Mählmann
83,Learn Modern JavaScript in 2022 from Scratch,"Learn Modern <strong>JavaScript</strong> from beginning. Master fundamentals with <strong>Javascript</strong> exercises, projects, live examples & more",Rating: 4.4 out of 5,169 reviews,8.5 total hours,112 lectures,All Levels,Data Is Good Academy
84,The Complete JavaScript Course - Beginner to Professional,"The only course you need to become a <strong>JavaScript</strong> developer - 45 <strong>JavaScript</strong> projects, ES6, JSON, AJAX & much more!",Rating: 4.3 out of 5,2161 reviews,36.5 total hours,421 lectures,All Levels,"Codestars • over 2 million students worldwide!, Laurence Svekis, Rob Percival"
85,The Complete 2022 Web Development Course - Build 15 Projects,"The only course you need to become a full-stack web developer. Covers HTML5, CSS3, <strong>JS</strong>, ES6, Node, APIs, Mobile & more!",Rating: 4.5 out of 5,7375 reviews,99.5 total hours,508 lectures,All Levels,Development Island (UK)
86,JavaScript 2019: JavaScript ES6 Certification Course,Earn the <strong>JavaScript</strong> Specialist Certification while Learning <strong>JavaScript</strong> ES6,Rating: 4.3 out of 5,739 reviews,6 total hours,22 lectures,Beginner,"Dollar Design School, Mark Lassoff"
87,Build Web Apps with Vue JS 3 & Firebase,Learn Vue <strong>JS</strong> 3 & Firebase by creating & deploying dynamic web apps (including Authentication).,Rating: 4.7 out of 5,6886 reviews,31.5 total hours,314 lectures,All Levels,The Net Ninja (Shaun Pelling)
88,Master JavaScript - The Most Complete JavaScript Course 2022,"Master <strong>JavaScript</strong> 2022!Projects, challenges,  <strong>JavaScript</strong> ES6, ES7, ES8 ,ES9, ES10, ES11, OOP, AJAX, Webpack,Laravel",Rating: 4.6 out of 5,60 reviews,45.5 total hours,181 lectures,All Levels,Rick Sekuloski
89,Python and Django Full Stack Web Developer Bootcamp,"Learn to build websites with HTML , CSS , Bootstrap , <strong>Javascript</strong> , jQuery , Python 3 , and Django!",Rating: 4.5 out of 5,46086 reviews,32 total hours,198 lectures,All Levels,Jose Portilla
90,"50 HTML CSS JavaScript projects - HTML5, CSS3, vanilla JS",,Rating: 4.5 out of 5,31 reviews,40 total hours,215 lectures,Beginner,Dr. Sahand Ghavidel
91,BUILD THE BEST ECOMMERCE WEBSITE EVER with REACT JS NEXT JS,,Rating: 4.8 out of 5,38 reviews,46.5 total hours,212 lectures,All Levels,Mohamed Hajji
92,7 HTML CSS JavaScript Projects with API - JS APIs projects,,Rating: 5.0 out of 5,1 review,7.5 total hours,30 lectures,Beginner,Dr. Sahand Ghavidel
93,React JS Portfolio Website with Theme Customization,,Rating: 4.9 out of 5,21 reviews,5.5 total hours,70 lectures,All Levels,Ernest Apedo
94,JavaScript: Master the Basics,,Rating: 5.0 out of 5,1 review,5.5 total hours,20 lectures,Beginner,Dominique Canlas
95,"Javascript -  All You Need( incl Async,ChatBot and OOPS)",,Rating: 0.0 out of 5,0 reviews,5 total hours,63 lectures,All Levels,Rahul Dhingra
96,Master JavaScript with Node.js,,Rating: 4.9 out of 5,6 reviews,6 total hours,74 lectures,All Levels,Dezlearn Education
97,Javascript Interview Questions with answers,,Rating: 5.0 out of 5,1 review,3 total hours,7 lectures,Beginner,Shivprasad Koirala
98,Object-oriented Programming in JavaScript,"Learn all about OOP, understand the most confusing parts of <strong>JavaScript</strong> and prepare for technical interviews",Rating: 4.8 out of 5,3715 reviews,4 total hours,64 lectures,Intermediate,Mosh Hamedani
99,Complete Javascript & jQuery Course with Bonus Vue JS Intro,"Learn <strong>Javascript</strong>, jQuery and Ajax from the start + Bonus Intro to Vue <strong>JS</strong> 3. Incudes complete written course material!",Rating: 4.6 out of 5,2485 reviews,17 total hours,98 lectures,All Levels,"Ivan Lourenço Gomes, Learn IT University, Andrii Piatakha"
100,Learn Complete Front-End Web Development Course (2023),"Learn Complete Front End Web Development with HTML5, CSS3, Bootstrap 5, <strong>JavaScript</strong>, ECMAScript 6, Angular & React <strong>JS</strong>",Rating: 4.4 out of 5,2475 reviews,32 total hours,489 lectures,All Levels,Fatah Gabrial
101,Learn and Understand NodeJS,"Dive deep under the hood of NodeJS. Learn V8, Express, the MEAN stack, core <strong>Javascript</strong> concepts, and more.",Rating: 4.5 out of 5,27842 reviews,13 total hours,97 lectures,All Levels,Anthony Alicea
102,Mastering Regular Expressions in JavaScript,Full of Opportunities to Learn by Doing in Order to Unlock the Power of Regular Expressions or regex in <strong>JavaScript</strong>,Rating: 4.8 out of 5,753 reviews,5.5 total hours,64 lectures,All Levels,Steven Hancock
103,Learn Javascript Step By Step By Building Projects,"This course teaches the fundamentals of <strong>JavaScript</strong>, UI component, patterns tips/tricks and build a DOM based OO game",Rating: 4.3 out of 5,117 reviews,31.5 total hours,134 lectures,Beginner,Rajesh Pillai
104,"Become a Certified HTML, CSS, JavaScript Web Developer","Complete coverage of HTML, CSS, <strong>Javascript</strong> while you Earn Four Respected Certifications",Rating: 4.4 out of 5,3125 reviews,53.5 total hours,565 lectures,All Levels,"Dollar Design School, Mark Lassoff"
105,React JS- Complete Guide for Frontend Web Development [2022],"Become an expert React <strong>JS</strong> Developer. Learn HTML, CSS, <strong>JavaScript</strong>, ES6, React <strong>JS</strong> and jQuery.",Rating: 4.2 out of 5,4326 reviews,22 total hours,202 lectures,All Levels,"EdYoda Digital University, Qaifi Khan, Mavludin Abdulkadirov"
106,The Complete 2020 Fullstack Web Developer Course,"Learn HTML5, CSS3, <strong>JavaScript</strong>, Python, Wagtail CMS, PHP & MySQL from scratch!",Rating: 4.5 out of 5,6633 reviews,67 total hours,695 lectures,All Levels,Kalob Taulien
107,"Master Electron: Desktop Apps with HTML, JavaScript & CSS","The Complete Electron course for learning to build Cross Platform Desktop Apps using HTML, <strong>JavaScript</strong> & CSS",Rating: 4.6 out of 5,3636 reviews,8 total hours,61 lectures,All Levels,Ray Viljoen
108,Nuxt.js 2 - Vue.js on Steroids,Build highly engaging Vue <strong>JS</strong> apps with Nuxt.<strong>js</strong>. Nuxt adds easy server-side-rendering and a folder-based config approach.,Rating: 4.5 out of 5,6568 reviews,6.5 total hours,107 lectures,Intermediate,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller"
109,Master JavaScript from Scratch (with jQuery and React JS),Learn and Understand Core <strong>JavaScript</strong> programming from the root and be able to build web apps using jQuery and React <strong>Js</strong>.,Rating: 4.8 out of 5,479 reviews,14.5 total hours,203 lectures,Beginner,Ryan Dhungel
110,React JS Web Development - The Essentials Bootcamp,"Updated for 2022-23: React.<strong>js</strong> essentials bootcamp - React Core, Router, Redux, Hooks, in-depth <strong>JS</strong>, + detailed guides!",Rating: 4.5 out of 5,5510 reviews,19 total hours,140 lectures,All Levels,David Joseph Katz
111,JavaScript for Beginners - The Complete introduction to JS,Learn all the Basics of <strong>JavaScript</strong> and create various basic <strong>JavaScript</strong> programs and applications,Rating: 4.3 out of 5,1629 reviews,4 total hours,30 lectures,All Levels,Yassin Marco
112,Machine Learning in JavaScript with TensorFlow.js,"Master machine learning with <strong>JavaScript</strong> and TensorFlowJS. Add artificial intelligence to websites, Node.js and web apps!",Rating: 4.5 out of 5,629 reviews,7.5 total hours,75 lectures,All Levels,"tech.courses team, Justin Emery"
113,JavaScript - Basics to Advanced step by step [2022],A perfect <strong>JavaScript</strong> course for all those who want to learn and master <strong>JavaScript</strong> programming skills right from scratch.,Rating: 4.3 out of 5,3808 reviews,10 total hours,87 lectures,Beginner,"EdYoda Digital University, Qaifi Khan"
114,The Creative JavaScript Course,From Beginner <strong>JavaScript</strong> To Building Awesome Web Apps and Websites!,Rating: 4.6 out of 5,329 reviews,17.5 total hours,130 lectures,Beginner,"Dev Ed, Maxine Tillman"
115,Modern JavaScript Course - Beginner To Advanced,Learn Modern <strong>JavaScript</strong> from the beginning to Advanced concepts. Build several real world <strong>JavaScript</strong> projects/apps.,Rating: 4.8 out of 5,19 reviews,19 total hours,110 lectures,All Levels,Ewomazino Akpareva
116,Web Development Masterclass - Online Certification Course,Cloud Computing | Web Apps | Linux | Web Servers | DBMS | LAMP Stack | HTML | CSS | <strong>JavaScript</strong> | PHP | + More,Rating: 4.5 out of 5,8683 reviews,26 total hours,398 lectures,All Levels,YouAccel Training
117,Web Components & Stencil.js - Build Custom HTML Elements,A Complete Introduction to building Custom HTML Elements/ Web Components with and without StencilJS,Rating: 4.7 out of 5,2913 reviews,9 total hours,144 lectures,All Levels,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller"
118,"50 HTML CSS JavaScript projects - HTML5, CSS3, vanilla JS",,Rating: 4.5 out of 5,31 reviews,40 total hours,215 lectures,Beginner,Dr. Sahand Ghavidel
119,BUILD THE BEST ECOMMERCE WEBSITE EVER with REACT JS NEXT JS,,Rating: 4.8 out of 5,38 reviews,46.5 total hours,212 lectures,All Levels,Mohamed Hajji
120,7 HTML CSS JavaScript Projects with API - JS APIs projects,,Rating: 5.0 out of 5,1 review,7.5 total hours,30 lectures,Beginner,Dr. Sahand Ghavidel
